Company,Peak Date,Peak Price,Status,Category,Sector,Industry,Market Cap (Cr),Market Cap Category
TCS,2021-06-25,3380.8,New ATH,0,Technology,IT Services,1104602.0,Large Cap
SBIN,2021-06-03,439.65,New ATH,0,Financial Services,Banks – Public,740435.0,Large Cap
INFY,2021-06-30,1580.8,New ATH,0,Technology,IT Services,630992.0,Large Cap
HINDUNILVR,2021-06-21,2514.35,New ATH,0,Consumer Goods,FMCG – Household & Personal Care,572560.0,Large Cap
BAJFINANCE,2021-06-14,619.41,New ATH,0,Financial Services,NBFC – Consumer Finance,549871.0,Large Cap
BAJAJFINSV,2021-06-25,1248.66,New ATH,0,Financial Services,NBFC – Housing Finance,312893.0,Large Cap
ADANIPORTS,2021-06-07,878.6,New ATH,0,Infrastructure,Ports & Logistics,301005.0,Large Cap
TITAN,2021-06-23,1782.55,New ATH,0,Consumer Goods,Luxury Goods & Watches,299694.0,Large Cap
ADANIENT,2021-06-04,1700.95,New ATH,0,Conglomerates,Industrial Conglomerates,292216.0,Large Cap
DMART,2021-06-22,3373.8,New ATH,0,Consumer Services,Retail – Supermarkets & Hypermarkets,278734.0,Large Cap
POWERGRID,2021-06-14,139.89,New ATH,0,Utilities,Power Transmission & Distribution,268835.0,Large Cap
WIPRO,2021-06-14,280.8,New ATH,0,Technology,IT Services,262175.0,Large Cap
ASIANPAINT,2021-06-21,3068.55,New ATH,0,Consumer Goods,Paints & Coatings,231641.0,Large Cap
ADANIPOWER,2021-06-10,154.1,New ATH,0,Energy,Renewable Energy – Power Generation,227386.0,Large Cap
GRASIM,2021-06-28,1514.58,New ATH,0,Materials,Cement & Cement Products,187750.0,Large Cap
VBL,2021-06-18,106.19,New ATH,0,Consumer Goods,FMCG – Beverages,176451.0,Large Cap
DIVISLAB,2021-06-30,4408.25,New ATH,0,Healthcare,Pharmaceuticals,176425.0,Large Cap
AMBUJACEM,2021-06-25,348.05,New ATH,0,Materials,Cement & Cement Products,152295.0,Large Cap
PIDILITIND,2021-06-29,2161.75,New ATH,0,Consumer Goods,FMCG – Household & Personal Care,146466.0,Large Cap
TECHM,2021-06-28,1105.1,New ATH,0,Technology,IT Services,142965.0,Large Cap
SOLARINDS,2021-06-10,1640.7,New ATH,0,Energy,Renewable Energy – Solar,131298.0,Large Cap
TATAPOWER,2021-06-10,127.6,New ATH,0,Utilities,Power Generation & Distribution,128229.0,Large Cap
CIPLA,2021-06-29,979.6,New ATH,0,Healthcare,Pharmaceuticals,126171.0,Large Cap
LODHA,2021-06-15,354.42,New ATH,0,Real Estate,Real Estate Development,123548.0,Large Cap
MAXHEALTH,2021-06-23,260.25,New ATH,0,Healthcare,Hospitals & Healthcare Services,123015.0,Large Cap
ABB,2021-06-25,1824.05,New ATH,0,Capital Goods,Engineering & Electrical Equipment,117679.0,Large Cap
MAZDOCK,2021-06-07,137.0,New ATH,0,Shipping & Logistics,Port & Shipping Services,111388.0,Large Cap
SIEMENS,2021-06-03,2140.7,New ATH,0,Capital Goods,Electrical Equipment & Power Distribution,109081.0,Large Cap
DRREDDY,2021-06-14,1092.27,New ATH,0,Healthcare,Pharmaceuticals,107774.0,Large Cap
APOLLOHOSP,2021-06-30,3619.85,New ATH,0,Healthcare,Hospitals & Healthcare Services,107121.0,Large Cap
TATACONSUM,2021-06-28,765.65,New ATH,0,Consumer Goods,FMCG – Household & Personal Care,106191.0,Large Cap
MUTHOOTFIN,2021-06-15,1516.75,New ATH,0,Financial Services,Non-Banking Financial Company (NBFC),105672.0,Large Cap
MOTHERSON,2021-06-02,73.52,New ATH,0,Automobile & Auto Components,Auto Ancillaries,104477.0,Large Cap
MOTHERSON,2021-06-02,73.52,New ATH,0,Automobile & Auto Components,Auto Ancillaries,104477.0,Large Cap
POLYCAB,2021-06-23,1996.1,New ATH,0,Capital Goods,Electrical Cables & Wires,104172.0,Large Cap
DIXON,2021-06-21,4588.25,New ATH,0,Consumer Goods,Consumer Electronics & Appliances,101327.0,Large Cap
ZYDUSLIFE,2021-06-11,664.95,New ATH,0,Healthcare,Pharmaceuticals,100135.0,Large Cap
DABUR,2021-06-16,580.6,New ATH,0,Consumer Goods,FMCG – Personal Care,92605.0,Large Cap
JSWENERGY,2021-06-30,167.75,New ATH,0,Energy,Power Generation,91924.0,Large Cap
MARICO,2021-06-29,537.7,New ATH,0,Consumer Goods,FMCG – Household & Personal Care,91433.0,Large Cap
SRF,2021-06-30,1455.14,New ATH,0,Chemicals,Specialty Chemicals,91368.0,Large Cap
ICICIPRULI,2021-06-28,619.6,New ATH,0,Financial Services,Insurance – Life,89629.0,Large Cap
TORNTPOWER,2021-06-09,474.7,New ATH,0,Utilities,Power Generation & Distribution,67306.0,Large Cap
PIIND,2021-06-28,2939.9,New ATH,0,Chemicals,Specialty Chemicals,65502.0,Large Cap
FORTIS,2021-06-30,243.4,New ATH,0,Healthcare,Hospitals & Healthcare Services,63405.0,Large Cap
FACT,2021-06-22,147.1,New ATH,0,Chemicals,Fertilizers & Agrochemicals,62136.0,Large Cap
UNOMINDA,2021-06-25,333.52,New ATH,0,Capital Goods,Auto Components & Systems,61557.0,Large Cap
ALKEM,2021-06-14,3223.5,New ATH,0,Healthcare,Pharmaceuticals,60904.0,Large Cap
OBEROIRLTY,2021-06-10,663.0,New ATH,0,Real Estate,Real Estate Development,59702.0,Large Cap
UPL,2021-06-08,853.55,New ATH,0,Chemicals,Agrochemicals,59307.0,Large Cap
IRCTC,2021-06-08,428.97,New ATH,0,Consumer Services,Travel & Leisure,58888.0,Large Cap
COFORGE,2021-06-30,831.46,New ATH,0,Technology,IT Services & Consultancy,58521.0,Large Cap
MPHASIS,2021-06-30,2134.2,New ATH,0,Technology,IT Services,53287.0,Large Cap
BALKRISIND,2021-06-17,2304.1,New ATH,0,Capital Goods,Cement & Construction Products,53272.0,Large Cap
SUPREMEIND,2021-06-14,2274.45,New ATH,0,Materials,Cement & Cement Products,53059.0,Large Cap
TATACOMM,2021-06-14,1336.7,New ATH,0,Telecommunication,Tower Infrastructure,50175.0,Large Cap
LAURUSLABS,2021-06-30,688.65,New ATH,0,Pharmaceuticals,Pharmaceuticals,47595.0,Large Cap
LTTS,2021-06-25,2927.05,New ATH,0,Technology,IT Services,45597.0,Large Cap
CONCOR,2021-06-07,719.7,New ATH,0,Transportation,Railway Infrastructure & Services,44528.0,Large Cap
VOLTAS,2021-06-03,1111.55,New ATH,0,Capital Goods,Electric Goods & Equipment,44160.0,Large Cap
APLAPOLLO,2021-06-30,814.65,New ATH,0,Healthcare,Hospitals & Diagnostics,43440.0,Large Cap
JUBLFOOD,2021-06-18,658.44,New ATH,0,Consumer Goods,FMCG – Food & Beverages,43395.0,Large Cap
KPRMILL,2021-06-08,323.65,New ATH,0,Materials,Textiles – Technical Products,40068.0,Large Cap
ASTRAL,2021-06-22,1496.66,New ATH,0,Capital Goods,Building Products & Equipment,38435.0,Large Cap
CRISIL,2021-06-23,2882.3,New ATH,0,Financial Services,Financial Data & Analytics,38117.0,Large Cap
TATAELXSI,2021-06-30,4304.3,New ATH,0,Technology,IT Services & Embedded Systems,37967.0,Large Cap
KEI,2021-06-15,717.2,New ATH,0,Capital Goods,Cables & Wires,37330.0,Large Cap
ENDURANCE,2021-06-30,1625.25,New ATH,0,Auto Components,Auto Components,36222.0,Large Cap
RADICO,2021-06-23,803.5,New ATH,0,Consumer Goods,Breweries & Distilleries,36138.0,Large Cap
AJANTPHARM,2021-06-30,1432.47,New ATH,0,Pharmaceuticals,Pharmaceuticals,35022.0,Large Cap
KPITTECH,2021-06-30,259.7,New ATH,0,Technology,IT Services,34827.0,Large Cap
ACC,2021-06-29,2053.05,New ATH,0,Cement,Cement & Cement Products,33996.0,Large Cap
GLAND,2021-06-30,3424.3,New ATH,0,Healthcare,Pharmaceuticals,33994.0,Large Cap
SUMICHEM,2021-06-22,394.1,New ATH,0,Chemicals,Specialty Chemicals,32614.0,Large Cap
CDSL,2021-06-16,504.83,New ATH,0,Financial Services,Depositories & Registrars,31618.0,Large Cap
GUJGASLTD,2021-06-21,678.4,New ATH,0,Gas Distribution,Gas Distribution,30850.0,Large Cap
JBCHEPHARM,2021-06-30,832.6,New ATH,0,Pharmaceuticals,Pharmaceuticals,27938.0,Large Cap
