Company,Peak Date,Peak Price,Status,Category,Sector,Industry,Market Cap (Cr),Market Cap Category
SBIN,2022-12-14,625.5,New ATH,0,Financial Services,Banks – Public,739972.0,Large Cap
LT,2022-12-14,2195.45,New ATH,0,Capital Goods,Engineering & Construction,504083.0,Large Cap
AXISBANK,2022-12-20,949.75,New ATH,0,Financial Services,Banks – Private,332894.0,Large Cap
HAL,2022-12-05,1391.65,New ATH,0,Defense & Aerospace,Defence Manufacturing,303958.0,Large Cap
ADANIENT,2022-12-20,4165.3,New ATH,0,Conglomerates,Industrial Conglomerates,292342.0,Large Cap
JSWSTEEL,2022-12-29,769.4,New ATH,0,Metals & Mining,Steel – Flat Products,253814.0,Large Cap
VBL,2022-12-19,282.78,New ATH,0,Consumer Goods,FMCG – Beverages,176570.0,Large Cap
AMBUJACEM,2022-12-08,587.75,New ATH,0,Materials,Cement & Cement Products,152184.0,Large Cap
BRITANNIA,2022-12-19,4526.5,New ATH,0,Consumer Goods,FMCG – Food Products,138427.0,Large Cap
SOLARINDS,2022-12-30,4384.55,New ATH,0,Energy,Renewable Energy – Solar,130930.0,Large Cap
BANKBARODA,2022-12-13,193.0,New ATH,0,Financial Services,Banks – Public Sector,123942.0,Large Cap
MAZDOCK,2022-12-02,457.0,New ATH,0,Shipping & Logistics,Port & Shipping Services,111321.0,Large Cap
POLYCAB,2022-12-14,3000.1,New ATH,0,Capital Goods,Electrical Cables & Wires,104323.0,Large Cap
CGPOWER,2022-12-13,284.7,New ATH,0,Capital Goods,Power Equipment & Electricals,103975.0,Large Cap
JINDALSTEL,2022-12-29,589.35,New ATH,0,Metals & Mining,Steel – Long Products,100259.0,Large Cap
JINDALSTEL,2022-12-29,589.35,New ATH,0,Metals & Mining,Steel – Long Products,100259.0,Large Cap
CUMMINSIND,2022-12-09,1523.0,New ATH,0,Capital Goods,Engine & Auto Components,99290.0,Large Cap
IOB,2022-12-15,34.75,New ATH,0,Financial Services,Banks – Public Sector,73079.0,Large Cap
FACT,2022-12-30,373.35,New ATH,0,Chemicals,Fertilizers & Agrochemicals,62313.0,Large Cap
BHARATFORG,2022-12-14,908.65,New ATH,0,Capital Goods,Auto Components & Forgings,56826.0,Large Cap
UBL,2022-12-14,1783.55,New ATH,0,Financial Services,Banks – Private,51596.0,Large Cap
FEDERALBNK,2022-12-30,139.05,New ATH,0,Financial Services,Banks – Public,50305.0,Large Cap
GODFRYPHLP,2022-12-20,2031.5,New ATH,0,Consumer Goods,FMCG – Personal Care,48825.0,Large Cap
APLAPOLLO,2022-12-02,1185.5,New ATH,0,Healthcare,Hospitals & Diagnostics,43469.0,Large Cap
APARINDS,2022-12-30,1793.1,New ATH,0,Pharmaceuticals,Pharmaceuticals,38841.0,Large Cap
ESCORTS,2022-12-01,2346.6,New ATH,0,Automobile & Auto Components,Farm & Construction Equipment,38370.0,Large Cap
SJVN,2022-12-05,41.1,New ATH,0,Utilities,Renewable Energy,38048.0,Large Cap
UCOBANK,2022-12-16,36.4,New ATH,0,Financial Services,Banks – Public,37807.0,Large Cap
KAYNES,2022-12-07,759.55,New ATH,0,Capital Goods,Electronics Components & Engineering,37750.0,Large Cap
BLUESTARCO,2022-12-14,638.33,New ATH,0,Capital Goods,Electrical Equipment,36079.0,Large Cap
AIAENG,2022-12-08,2832.4,New ATH,0,Capital Goods,Engineering & Construction,30138.0,Large Cap
APOLLOTYRE,2022-12-20,327.4,New ATH,0,Auto Ancillaries,Tyres & Tubes,29218.0,Large Cap
IRB,2022-12-20,31.86,New ATH,0,Construction & Engineering,Construction & Engineering,27804.0,Large Cap
PGEL,2022-12-14,117.0,New ATH,0,Utilities,Power Transmission,22823.0,Large Cap
IIFL,2022-12-20,511.75,New ATH,0,Financial Services,Financial Services,21410.0,Large Cap
IIFL,2022-12-20,511.75,New ATH,0,Financial Services,Financial Services,21410.0,Large Cap
TRITURBINE,2022-12-14,304.25,New ATH,0,Industrials,Power Equipment,19381.0,Mid Cap
BIKAJI,2022-12-30,436.2,New ATH,0,Consumer Staples,Food Processing,19137.0,Mid Cap
FIVESTAR,2022-12-06,624.6,New ATH,0,Consumer Discretionary,Consumer Electronics,17977.0,Mid Cap
IRCON,2022-12-14,65.15,New ATH,0,Industrials,Construction & Engineering,16887.0,Mid Cap
CRAFTSMAN,2022-12-30,3493.55,New ATH,0,Industrials,Auto Components,16373.0,Mid Cap
LMW,2022-12-13,13957.6,New ATH,0,Consumer Durables,Textiles,16180.0,Mid Cap
BLS,2022-12-13,202.35,New ATH,0,Financial Services,Non-Banking Financial Company (NBFC),15533.0,Mid Cap
BLS,2022-12-13,202.35,New ATH,0,Financial Services,Non-Banking Financial Company (NBFC),15533.0,Mid Cap
JWL,2022-12-20,93.15,New ATH,0,Consumer Durables,Jewelry & Accessories,14792.0,Mid Cap
GRAVITA,2022-12-20,459.8,New ATH,0,Materials,Mining & Minerals,14009.0,Mid Cap
GESHIP,2022-12-20,725.75,New ATH,0,Industrials,Shipping,13520.0,Mid Cap
ELECON,2022-12-01,232.57,New ATH,0,Industrials,Engineering - Heavy Electrical Equipment,12996.0,Mid Cap
PRUDENT,2022-12-08,1009.95,New ATH,0,Financial Services,        Investment Services,12683.0,Mid Cap
TITAGARH,2022-12-30,223.6,New ATH,0,Industrials,Engineering - Rail Equipment,11716.0,Mid Cap
USHAMART,2022-12-27,177.55,New ATH,0,Industrials,                Industrial Machinery,11522.0,Mid Cap
JKLAKSHMI,2022-12-13,880.65,New ATH,0,Materials,                Cement & Building Materials,11348.0,Mid Cap
CCL,2022-12-27,561.65,New ATH,0,Consumer Staples,        Packaged Foods & Beverages,11293.0,Mid Cap
RKFORGE,2022-12-20,273.1,New ATH,0,Industrials,                Auto Ancillaries,10832.0,Mid Cap
RHIM,2022-12-20,847.6,New ATH,0,Materials,                Specialty Materials,10194.0,Mid Cap
POWERMECH,2022-12-07,1192.72,New ATH,0,Industrials,Engineering - EPC,9801.0,Mid Cap
PVRINOX,2022-12-06,1917.2,New ATH,0,Communication Services,    Media & Entertainment,9699.0,Mid Cap
JKTYRE,2022-12-06,207.4,New ATH,0,Consumer Discretionary,Auto Components - Tyres,9362.0,Mid Cap
RCF,2022-12-15,140.9,New ATH,0,Materials,Chemicals - Fertilizers,8566.0,Mid Cap
ESABINDIA,2022-12-21,4210.25,New ATH,0,Industrials,Electrical Equipment,8329.0,Mid Cap
IONEXCHANG,2022-12-07,301.67,New ATH,0,Industrials,Chemicals - Water Treatment,6995.0,Mid Cap
KTKBANK,2022-12-13,164.1,New ATH,0,Financials,Banks - Private Sector,6883.0,Mid Cap
HNDFDS,2022-12-02,720.95,New ATH,0,Financials, Financial Services,6500.0,Mid Cap
