Company,Peak Date,Peak Price,Status,Category,Sector,Industry,Market Cap (Cr),Market Cap Category
RELIANCE,2021-09-28,1175.92,New ATH,0,Energy,Conglomerates & Oil & Gas,1908213.0,Large Cap
BHARTIARTL,2021-09-24,725.77,New ATH,0,Telecommunication,Telecom Services,1159408.0,Large Cap
TCS,2021-09-15,3954.55,New ATH,0,Technology,IT Services,1104819.0,Large Cap
ICICIBANK,2021-09-27,730.0,New ATH,0,Financial Services,Banks – Private,1058024.0,Large Cap
SBIN,2021-09-16,463.7,New ATH,0,Financial Services,Banks – Public,739972.0,Large Cap
INFY,2021-09-24,1763.85,New ATH,0,Technology,IT Services,631034.0,Large Cap
HINDUNILVR,2021-09-21,2812.45,New ATH,0,Consumer Goods,FMCG – Household & Personal Care,572689.0,Large Cap
BAJFINANCE,2021-09-23,789.91,New ATH,0,Financial Services,NBFC – Consumer Finance,549871.0,Large Cap
LT,2021-09-23,1769.7,New ATH,0,Capital Goods,Engineering & Construction,504083.0,Large Cap
SUNPHARMA,2021-09-30,818.25,New ATH,0,Healthcare,Pharmaceuticals,415997.0,Large Cap
HCLTECH,2021-09-24,1358.2,New ATH,0,Technology,IT Services,400673.0,Large Cap
KOTAKBANK,2021-09-28,2068.2,New ATH,0,Financial Services,Banks – Private,389665.0,Large Cap
ULTRACEMCO,2021-09-07,8026.25,New ATH,0,Materials,Cement & Cement Products,361512.0,Large Cap
BAJAJFINSV,2021-09-24,1852.6,New ATH,0,Financial Services,NBFC – Housing Finance,313139.0,Large Cap
HAL,2021-09-16,715.97,New ATH,0,Defense & Aerospace,Defence Manufacturing,303958.0,Large Cap
TITAN,2021-09-30,2161.85,New ATH,0,Consumer Goods,Luxury Goods & Watches,299761.0,Large Cap
BEL,2021-09-28,70.12,New ATH,0,Defense & Aerospace,Defence Manufacturing,282523.0,Large Cap
DMART,2021-09-24,4422.35,New ATH,0,Consumer Services,Retail – Supermarkets & Hypermarkets,278605.0,Large Cap
POWERGRID,2021-09-29,146.29,New ATH,0,Utilities,Power Transmission & Distribution,268741.0,Large Cap
WIPRO,2021-09-06,343.23,New ATH,0,Technology,IT Services,262279.0,Large Cap
ASIANPAINT,2021-09-24,3448.6,New ATH,0,Consumer Goods,Paints & Coatings,231723.0,Large Cap
INDIGO,2021-09-21,2236.25,New ATH,0,Transportation,Airlines,221864.0,Large Cap
NESTLEIND,2021-09-09,2045.72,New ATH,0,Consumer Goods,FMCG – Food Products,215152.0,Large Cap
DLF,2021-09-27,420.0,New ATH,0,Real Estate,Real Estate Development,195253.0,Large Cap
GRASIM,2021-09-29,1663.29,New ATH,0,Materials,Cement & Cement Products,187727.0,Large Cap
TRENT,2021-09-08,1033.85,New ATH,0,Consumer Services,Retail – Apparel & Lifestyle,179290.0,Large Cap
VBL,2021-09-06,125.25,New ATH,0,Consumer Goods,FMCG – Beverages,176570.0,Large Cap
DIVISLAB,2021-09-23,5212.1,New ATH,0,Healthcare,Pharmaceuticals,176537.0,Large Cap
HDFCLIFE,2021-09-02,759.0,New ATH,0,Financial Services,Insurance – Life,163207.0,Large Cap
BAJAJHLDNG,2021-09-27,4993.1,New ATH,0,Financial Services,Financial Holdings & Investments,156463.0,Large Cap
HINDALCO,2021-09-29,494.15,New ATH,0,Metals & Mining,Aluminum & Copper,154789.0,Large Cap
LTIM,2021-09-24,6231.35,New ATH,0,Technology,IT Services,152309.0,Large Cap
AMBUJACEM,2021-09-07,441.5,New ATH,0,Materials,Cement & Cement Products,152184.0,Large Cap
PIDILITIND,2021-09-24,2451.95,New ATH,0,Consumer Goods,FMCG – Household & Personal Care,146197.0,Large Cap
TECHM,2021-09-23,1521.5,New ATH,0,Technology,IT Services,143283.0,Large Cap
BRITANNIA,2021-09-03,4124.2,New ATH,0,Consumer Goods,FMCG – Food Products,138427.0,Large Cap
SOLARINDS,2021-09-30,2118.3,New ATH,0,Energy,Renewable Energy – Solar,130930.0,Large Cap
TATAPOWER,2021-09-30,158.75,New ATH,0,Utilities,Power Generation & Distribution,128245.0,Large Cap
TORNTPHARM,2021-09-03,1594.82,New ATH,0,Healthcare,Pharmaceuticals,126255.0,Large Cap
CIPLA,2021-09-29,987.6,New ATH,0,Healthcare,Pharmaceuticals,125961.0,Large Cap
GODREJCP,2021-09-15,1126.9,New ATH,0,Consumer Goods,FMCG – Personal Care,124467.0,Large Cap
CHOLAFIN,2021-09-16,609.4,New ATH,0,Financial Services,Non-Banking Financial Company (NBFC),124334.0,Large Cap
CHOLAFIN,2021-09-16,609.4,New ATH,0,Financial Services,Non-Banking Financial Company (NBFC),124334.0,Large Cap
