Company,Peak Date,Peak Price,Status,Category,Sector,Industry,Market Cap (Cr),Market Cap Category
INFY,2021-12-30,1892.85,New ATH,0,Technology,IT Services,631034.0,Large Cap
SUNPHARMA,2021-12-31,845.7,New ATH,0,Healthcare,Pharmaceuticals,415997.0,Large Cap
POWERGRID,2021-12-02,160.88,New ATH,0,Utilities,Power Transmission & Distribution,268741.0,Large Cap
WIPRO,2021-12-31,357.67,New ATH,0,Technology,IT Services,262279.0,Large Cap
ADANIGREEN,2021-12-15,1439.25,New ATH,0,Energy,Renewable Energy – Power Generation,163834.0,Large Cap
BAJAJHLDNG,2021-12-10,5578.15,New ATH,0,Financial Services,Financial Holdings & Investments,156463.0,Large Cap
TECHM,2021-12-28,1806.1,New ATH,0,Technology,IT Services,143283.0,Large Cap
TORNTPHARM,2021-12-31,1639.22,New ATH,0,Healthcare,Pharmaceuticals,126255.0,Large Cap
LODHA,2021-12-01,745.2,New ATH,0,Real Estate,Real Estate Development,123593.0,Large Cap
MAXHEALTH,2021-12-31,442.9,New ATH,0,Healthcare,Hospitals & Healthcare Services,122938.0,Large Cap
ABB,2021-12-13,2307.6,New ATH,0,Capital Goods,Engineering & Electrical Equipment,117694.0,Large Cap
SIEMENS,2021-12-14,2515.9,New ATH,0,Capital Goods,Electrical Equipment & Power Distribution,109379.0,Large Cap
CGPOWER,2021-12-30,194.9,New ATH,0,Capital Goods,Power Equipment & Electricals,103975.0,Large Cap
BSE,2021-12-14,254.59,New ATH,0,Financial Services,Stock Exchanges,99806.0,Large Cap
TORNTPOWER,2021-12-15,598.6,New ATH,0,Utilities,Power Generation & Distribution,67347.0,Large Cap
FORTIS,2021-12-31,297.3,New ATH,0,Healthcare,Hospitals & Healthcare Services,63620.0,Large Cap
SCHAEFFLER,2021-12-31,1756.88,New ATH,0,Capital Goods,Auto Components & Systems,63589.0,Large Cap
UNOMINDA,2021-12-28,622.85,New ATH,0,Capital Goods,Auto Components & Systems,61462.0,Large Cap
NYKAA,2021-12-01,415.52,New ATH,0,Consumer Services,Fashion & Beauty e-Commerce,61163.0,Large Cap
COFORGE,2021-12-31,1178.07,New ATH,0,Technology,IT Services & Consultancy,58525.0,Large Cap
GLAXO,2021-12-10,1882.6,New ATH,0,Healthcare,Pharmaceuticals,54159.0,Large Cap
THERMAX,2021-12-10,1845.85,New ATH,0,Capital Goods,Industrial Equipment,45721.0,Large Cap
APLAPOLLO,2021-12-15,1082.85,New ATH,0,Healthcare,Hospitals & Diagnostics,43469.0,Large Cap
KPRMILL,2021-12-29,678.75,New ATH,0,Materials,Textiles – Technical Products,40279.0,Large Cap
NH,2021-12-31,639.5,New ATH,0,Power,Power Generation,39601.0,Large Cap
ESCORTS,2021-12-30,1908.85,New ATH,0,Automobile & Auto Components,Farm & Construction Equipment,38370.0,Large Cap
KEI,2021-12-06,1223.8,New ATH,0,Capital Goods,Cables & Wires,37279.0,Large Cap
RADICO,2021-12-29,1242.45,New ATH,0,Consumer Goods,Breweries & Distilleries,36300.0,Large Cap
KPITTECH,2021-12-31,612.95,New ATH,0,Technology,IT Services,34775.0,Large Cap
POONAWALLA,2021-12-30,221.05,New ATH,0,Consumer Goods,Consumer Foods,32247.0,Large Cap
CDSL,2021-12-14,833.3,New ATH,0,Financial Services,Depositories & Registrars,31618.0,Large Cap
